Analysis(time=0.0, partials=[(1.0, 1.0), (2.0055749920487074, 1.2589254117941673), (3.0146530964605387, 3.1622776601683795), (4.032532145940297, 5.623413251903491), (5.054114225998455, 12.589254117941675), (6.093348175746286, 35.48133892335755), (7.115271025489572, 63.09573444801933), (8.194102412649372, 50.11872336272722), (10.38643282293607, 398.1071705534973), (0.25037711845154254, 25.118864315095795), (0.44634694897541916, 31.622776601683793), (0.5962038257076651, 28.183829312644534), (0.7489049934117861, 11.220184543019636)])

Analysis(time=0.038, partials=[(1.0, 1.0), (2.005196669407334, 1.4125375446227544), (3.013977405390182, 3.548133892335755), (4.0315525049854415, 6.309573444801933), (5.053011479006637, 12.589254117941675), (6.0918911061546925, 44.6683592150963), (7.113622632767181, 100.0), (8.192204087380361, 63.09573444801933), (10.38641143630673, 707.945784384138), (0.25019646499289094, 28.183829312644534), (0.44622537373774085, 39.810717055349734), (0.5960679746162687, 35.48133892335755), (0.7486996970123694, 14.12537544622754)])

Analysis(time=0.059, partials=[(1.0, 1.0), (2.0048640142423424, 1.5848931924611136), (3.013327217361488, 3.9810717055349722), (4.03063738569453, 7.943282347242816), (5.051966837505137, 12.589254117941675), (6.09050881403888, 56.23413251903491), (7.112088051828319, 141.2537544622754), (8.190504953710116, 79.43282347242814), (10.384102711994496, 891.2509381337459), (0.24772637989722443, 31.622776601683793), (0.3696877902342765, 70.79457843841381), (0.4461291121016765, 50.11872336272722), (0.5959666376763545, 44.6683592150963), (0.7484859563510355, 15.848931924611133)])

Analysis(time=0.086, partials=[(1.0, 1.0), (2.004535981365698, 1.7782794100389228), (3.012658975022589, 5.011872336272722), (4.029667770013486, 10.0), (5.05085384514096, 12.589254117941675), (6.089044174737444, 79.43282347242814), (7.1308896244534345, 177.82794100389228), (8.188763116432602, 100.0), (10.381653567261022, 1122.018454301963), (0.24764460427081486, 35.48133892335755), (0.369421401295865, 89.12509381337455), (0.4460245460613243, 63.09573444801933), (0.5958685791344857, 56.23413251903491), (0.7482462234209201, 19.952623149688797)])

Analysis(time=0.106, partials=[(1.0, 1.0), (2.0013575993835273, 2.2387211385683394), (3.0076379130592445, 5.623413251903491), (4.022845745886405, 12.589254117941675), (5.042405149358596, 12.589254117941675), (6.078713566928063, 100.0), (7.1189429309641445, 281.8382931264455), (8.175128054032003, 125.89254117941675), (10.364104075064594, 1584.893192461114), (0.24722360727074927, 44.6683592150963), (0.3685349712161733, 112.2018454301963), (0.4453107293413716, 89.12509381337455), (0.5949277004668873, 79.43282347242814), (0.7445424051493585, 25.118864315095795)])

Analysis(time=0.129, partials=[(1.0, 1.0), (2.0015728437422804, 2.8183829312644537), (3.0075310659302557, 7.079457843841379), (4.022604529518016, 17.78279410038923), (5.04223334746022, 12.589254117941675), (6.0783611602782175, 141.2537544622754), (7.118659048724162, 446.683592150963), (8.174979999501405, 158.48931924611142), (10.363589800538938, 2238.72113856834), (0.24720162995564765, 50.11872336272722), (0.36813155682067994, 141.2537544622754), (0.4454366001192098, 125.89254117941675), (0.597685154757399, 112.2018454301963), (0.7445534052973559, 31.622776601683793)])

Analysis(time=0.153, partials=[(1.0, 1.0), (2.0029710644161214, 3.548133892335755), (3.007460521783273, 10.0), (4.022404227931179, 25.118864315095795), (5.042061751001687, 12.589254117941675), (6.078013670069076, 199.52623149688787), (7.118384792501406, 794.3282347242813), (8.174869010279748, 223.872113856834), (0.24716264481389488, 63.09573444801933), (0.39598328407998984, 141.2537544622754), (0.5214138731258046, 177.82794100389228), (0.7445677792483276, 44.6683592150963)])

Analysis(time=0.176, partials=[(1.0, 1.0), (2.0032202214497117, 4.466835921509632), (3.00731518285691, 15.848931924611133), (4.022217488453886, 31.622776601683793), (5.041833418692241, 12.589254117941675), (6.077652433635337, 316.22776601683796), (7.118071764935165, 1122.018454301963), (8.174762165910522, 316.22776601683796), (0.2470664485104493, 79.43282347242814), (0.39957939964738465, 141.2537544622754), (0.5209846943169096, 223.872113856834), (0.7444603579635329, 63.09573444801933)])

Analysis(time=0.2, partials=[(1.0, 1.0), (2.003763930622216, 5.011872336272722), (3.0069522812456095, 28.183829312644534), (4.022080517750072, 70.79457843841381), (5.041559595190508, 12.589254117941675), (6.077376986770724, 501.18723362727246), (7.117749164955789, 1258.9254117941675), (8.175298100586005, 446.683592150963), (0.24696007650228646, 100.0), (0.3994389228042983, 141.2537544622754), (0.5207095496426419, 316.22776601683796), (0.7426636210780115, 100.0)])

Analysis(time=0.222, partials=[(1.0, 1.0), (2.004509628850747, 5.011872336272722), (3.0023930492795925, 56.23413251903491), (4.022362320351343, 63.09573444801933), (5.041629086426244, 14.12537544622754), (6.0777333109740335, 630.957344480193), (7.117939258245368, 1258.9254117941675), (8.176047752210623, 630.957344480193), (0.24712539487579258, 141.2537544622754), (0.3999610223034006, 141.2537544622754), (0.5215986294354126, 398.1071705534973), (0.7656715267926342, 125.89254117941675)])

Analysis(time=0.247, partials=[(1.0, 1.0), (2.005026754208037, 5.011872336272722), (3.0156672460956537, 44.6683592150963), (4.022944481335512, 31.622776601683793), (5.041870732188225, 14.12537544622754), (6.078406487187217, 630.957344480193), (7.118477741088163, 1258.9254117941675), (8.17683840277038, 630.957344480193), (0.2482781440443841, 177.82794100389228), (0.40006209786532926, 177.82794100389228), (0.5224492848546933, 562.341325190349), (0.7654944372550931, 141.2537544622754)])

Analysis(time=0.269, partials=[(1.0, 1.0), (2.0050634632819584, 5.011872336272722), (3.005825022665458, 28.183829312644534), (4.023662737987308, 28.183829312644534), (5.041999093381687, 14.12537544622754), (6.079125113327289, 501.18723362727246), (7.118970988213962, 891.2509381337459), (8.177402538531279, 630.957344480193), (0.24955802357207618, 223.872113856834), (0.40007932910244787, 199.52623149688787), (0.7660358114233908, 177.82794100389228)])

Analysis(time=0.292, partials=[(1.0, 1.0), (2.0046466821556073, 5.011872336272722), (3.0061086870289566, 19.952623149688797), (4.024434748115827, 31.622776601683793), (5.041899472998243, 15.848931924611133), (6.070629568765229, 354.8133892335753), (7.119261064203547, 630.957344480193), (8.177707259024197, 630.957344480193), (0.25127443758145857, 316.22776601683796), (0.4003422678075594, 281.8382931264455), (0.7663602878676262, 251.18864315095797)])

Analysis(time=0.315, partials=[(1.0, 1.0), (2.0040461785713477, 5.011872336272722), (3.0058233236693512, 14.12537544622754), (4.025392320647751, 31.622776601683793), (5.041538499899129, 17.78279410038923), (6.070763923047804, 316.22776601683796), (7.119506207540627, 501.18723362727246), (8.17799558887199, 707.945784384138), (0.22954186378092153, 398.1071705534973), (0.35641732988482555, 316.22776601683796), (0.7659540707729902, 316.22776601683796)])

Analysis(time=0.339, partials=[(1.0, 1.0), (2.0034546934186275, 5.011872336272722), (3.0057872915339607, 11.220184543019636), (4.025488564828772, 35.48133892335755), (5.0407241255023925, 22.3872113856834), (6.070966294070576, 316.22776601683796), (7.119887382435015, 501.18723362727246), (8.178555965353324, 794.3282347242813), (0.21581859685949326, 354.8133892335753), (0.3569600511403435, 281.8382931264455), (0.7325536848929702, 398.1071705534973)])

Analysis(time=0.362, partials=[(1.0, 1.0), (2.0029424832926797, 4.466835921509632), (3.005844161732302, 10.0), (4.0256934558083435, 39.810717055349734), (5.040147441535713, 25.118864315095795), (6.0779055322313, 446.683592150963), (7.120288172940034, 501.18723362727246), (8.179400803402217, 1122.018454301963), (0.2148556868363544, 316.22776601683796), (0.35737797081999617, 281.8382931264455), (0.4271565364840725, 354.8133892335753)])

Analysis(time=0.384, partials=[(1.0, 1.0), (2.002117390486252, 3.9810717055349722), (3.00594637606578, 7.943282347242816), (4.025626319118404, 50.11872336272722), (5.03954804821484, 31.622776601683793), (6.077228077413972, 630.957344480193), (7.120666320569292, 398.1071705534973), (8.18060842104786, 1995.2623149688789), (0.21433477893219138, 281.8382931264455), (0.3580248872727603, 316.22776601683796), (0.42745670571219363, 398.1071705534973)])

Analysis(time=0.409, partials=[(1.0, 1.0), (2.00184993323464, 3.1622776601683795), (3.006050823288302, 7.079457843841379), (4.025327762374262, 63.09573444801933), (5.039141050607917, 39.810717055349734), (6.0769399927907015, 630.957344480193), (7.120860037588104, 354.8133892335753), (8.181919169706436, 2238.72113856834), (0.21417284633538655, 251.18864315095797), (0.35892558779588163, 316.22776601683796), (0.4283139536201788, 354.8133892335753)])

Analysis(time=0.431, partials=[(1.0, 1.0), (2.001639136132183, 2.8183829312644537), (3.0061257895285727, 6.309573444801933), (4.025564175693629, 79.43282347242814), (5.039130691067048, 44.6683592150963), (6.076819486449355, 794.3282347242813), (7.12087892157085, 354.8133892335753), (8.182712668277842, 2511.88643150958), (0.21413511197362872, 251.18864315095797), (0.3588098466058773, 354.8133892335753), (0.42897756900014966, 446.683592150963)])

Analysis(time=0.454, partials=[(1.0, 1.0), (2.001464600204953, 2.51188643150958), (3.0062166157306223, 5.623413251903491), (4.024544522939357, 89.12509381337455), (5.039516999337982, 39.810717055349734), (6.076753212598282, 707.945784384138), (7.12083631845759, 446.683592150963), (8.183238262793713, 3162.2776601683795), (0.2159378429114257, 251.18864315095797), (0.35832373559205216, 398.1071705534973), (0.42871069838304504, 398.1071705534973)])

Analysis(time=0.478, partials=[(1.0, 1.0), (2.0013104555306667, 2.2387211385683394), (3.006293814105762, 5.011872336272722), (4.023892007581598, 89.12509381337455), (5.04015253883755, 35.48133892335755), (6.076273953222633, 501.18723362727246), (7.120829441265292, 707.945784384138), (8.183522722119944, 2818.382931264455), (0.2159893712534122, 281.8382931264455), (0.3577815665611652, 398.1071705534973), (0.4294870632192768, 794.3282347242813)])

Analysis(time=0.501, partials=[(1.0, 1.0), (2.001165371683282, 1.9952623149688795), (3.0063641990563665, 4.466835921509632), (4.023547763234564, 79.43282347242814), (5.040776672614446, 28.183829312644534), (6.076279698273029, 446.683592150963), (7.1208744368692765, 1000.0), (8.183607256139174, 1995.2623149688789), (0.21590664329877274, 251.18864315095797), (0.35929724006429953, 446.683592150963), (0.43041665438567456, 398.1071705534973)])

Analysis(time=0.524, partials=[(1.0, 1.0), (2.00101120946093, 1.9952623149688795), (3.0064209533483277, 4.466835921509632), (4.022709134440978, 79.43282347242814), (5.041309947036204, 25.118864315095795), (6.076280563012407, 398.1071705534973), (7.120977835014148, 794.3282347242813), (8.18351864615831, 1412.537544622754), (0.19446510193716898, 251.18864315095797), (0.2156755604730465, 281.8382931264455), (0.35886826162664154, 446.683592150963), (0.4314236740912719, 398.1071705534973)])

Analysis(time=0.547, partials=[(1.0, 1.0), (2.0008366360429153, 1.9952623149688795), (3.0064708923210866, 3.9810717055349722), (4.022654925042852, 70.79457843841381), (5.041741109891804, 22.3872113856834), (6.076312997106917, 354.8133892335753), (7.121110435957665, 501.18723362727246), (8.183343460635028, 1778.2794100389228), (0.19340349890715833, 223.872113856834), (0.35853595494408824, 354.8133892335753), (0.4331462049826324, 316.22776601683796)])

Analysis(time=0.571, partials=[(1.0, 1.0), (2.000614440020678, 1.9952623149688795), (3.0064935653845803, 3.548133892335755), (4.022632251979358, 70.79457843841381), (5.042058532780715, 19.952623149688797), (6.07633567017041, 316.22776601683796), (7.12126914740212, 398.1071705534973), (8.183094056936596, 1412.537544622754), (0.19493166338663012, 199.52623149688787), (0.3590801084679357, 316.22776601683796), (0.4337742488414065, 316.22776601683796)])

Analysis(time=0.598, partials=[(1.0, 1.0), (2.0003310237248786, 1.9952623149688795), (3.0065116447798013, 3.548133892335755), (4.022618443009505, 63.09573444801933), (5.042239534208808, 19.952623149688797), (6.07637125444388, 251.18864315095797), (7.121408619313647, 398.1071705534973), (8.182793114706524, 1412.537544622754), (0.19532667053616776, 199.52623149688787), (0.35937386635710655, 316.22776601683796), (0.4341557534644127, 281.8382931264455)])

Analysis(time=0.617, partials=[(1.0, 1.0), (1.9999410516387643, 1.9952623149688795), (3.0065024576932142, 3.1622776601683795), (4.022568153374567, 56.23413251903491), (5.042238768069939, 17.78279410038923), (6.076419748607912, 251.18864315095797), (7.121506175974461, 398.1071705534973), (8.18157909056282, 1412.537544622754), (0.19569268858941105, 199.52623149688787), (0.35946937405909346, 316.22776601683796), (0.43419095641448857, 281.8382931264455)])

